<TICKER> <PER> <DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <VOL>
USDJPY 1 010503 1343 121.4800000 121.4800000 121.4800000 121.4800000 0
USDJPY 1 010503 1344 121.5000000 121.5000000 121.3900000 121.3900000 0
USDJPY 1 010503 1345 121.4400000 121.4400000 121.3900000 121.4400000 0
USDJPY 1 010503 1346 121.4100000 121.4700000 121.4000000 121.4700000 0
USDJPY 1 010503 1347 121.4100000 121.4800000 121.4100000 121.4800000 0
USDJPY 1 010503 1348 121.4400000 121.5100000 121.4400000 121.4600000 0
USDJPY 1 010503 1349 121.5200000 121.5200000 121.4400000 121.4400000 0
USDJPY 1 010503 1350 121.4800000 121.4900000 121.4400000 121.4400000 0
USDJPY 1 010503 1351 121.4500000 121.4600000 121.3900000 121.3900000 0
USDJPY 1 010503 1352 121.4700000 121.4700000 121.3900000 121.4200000 0
USDJPY 1 010503 1353 121.4000000 121.4600000 121.4000000 121.4200000 0
USDJPY 1 010503 1354 121.4500000 121.4500000 121.4100000 121.4100000 0
USDJPY 1 010503 1355 121.4700000 121.4700000 121.3900000 121.4400000 0
USDJPY 1 010503 1356 121.3900000 121.4700000 121.3900000 121.4700000 0
USDJPY 1 010503 1357 121.4100000 121.4400000 121.3700000 121.3700000 0
USDJPY 1 010503 1358 121.4100000 121.4500000 121.3800000 121.3800000 0
USDJPY 1 010503 1359 121.4000000 121.4300000 121.3700000 121.4100000 0
USDJPY 1 010503 1400 121.4400000 121.4400000 121.3700000 121.4000000 0
USDJPY 1 010503 1401 121.3900000 121.4700000 121.3900000 121.4000000 0
USDJPY 1 010503 1402 121.4300000 121.4300000 121.4100000 121.4100000 0
USDJPY 1 010503 1403 121.4300000 121.4400000 121.3700000 121.4000000 0
USDJPY 1 010503 1404 121.3600000 121.3800000 121.3500000 121.3600000 0
USDJPY 1 010503 1405 121.3800000 121.4400000 121.3600000 121.4400000 0
USDJPY 1 010503 1406 121.3700000 121.4700000 121.3700000 121.4000000 0
USDJPY 1 010503 1407 121.3900000 121.4200000 121.3700000 121.4200000 0
USDJPY 1 010503 1408 121.4100000 121.4800000 121.4100000 121.4400000 0
USDJPY 1 010503 1409 121.4600000 121.5000000 121.4400000 121.4600000 0
USDJPY 1 010503 1410 121.4700000 121.5000000 121.4300000 121.4400000 0
USDJPY 1 010503 1411 121.4300000 121.4600000 121.4200000 121.4200000 0
USDJPY 1 010503 1412 121.4400000 121.4500000 121.4000000 121.4000000 0
USDJPY 1 010503 1413 121.3800000 121.4300000 121.3700000 121.4000000 0
USDJPY 1 010503 1414 121.4500000 121.4500000 121.3800000 121.3800000 0
USDJPY 1 010503 1415 121.3900000 121.4200000 121.3400000 121.3700000 0
USDJPY 1 010503 1416 121.3800000 121.4100000 121.3500000 121.3900000 0
USDJPY 1 010503 1417 121.4300000 121.4300000 121.3600000 121.4100000 0
USDJPY 1 010503 1418 121.3900000 121.3900000 121.3500000 121.3600000 0
USDJPY 1 010503 1419 121.3600000 121.4400000 121.3600000 121.3600000 0
