<TICKER> <PER> <DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <VOL>
USDJPY 1 030701 0001 119.6900000 119.8000000 119.6700000 119.7400000 0
USDJPY 1 030701 0002 119.6800000 119.7800000 119.6400000 119.7100000 0
USDJPY 1 030701 0003 119.6600000 119.7600000 119.6500000 119.7200000 0
USDJPY 1 030701 0004 119.6600000 119.7500000 119.6300000 119.7100000 0
USDJPY 1 030701 0005 119.6700000 119.7500000 119.6400000 119.7200000 0
USDJPY 1 030701 0006 119.6600000 119.7200000 119.6600000 119.7200000 0
USDJPY 1 030701 0007 119.6400000 119.7700000 119.6400000 119.7700000 0
USDJPY 1 030701 0008 119.6900000 119.7700000 119.6700000 119.7700000 0
USDJPY 1 030701 0009 119.7000000 119.7500000 119.6900000 119.7500000 0
USDJPY 1 030701 0011 119.7200000 119.7900000 119.6800000 119.7800000 0
USDJPY 1 030701 0012 119.6900000 119.7900000 119.6800000 119.7500000 0
USDJPY 1 030701 0013 119.7100000 119.7800000 119.6700000 119.7700000 0
USDJPY 1 030701 0014 119.6900000 119.7800000 119.6600000 119.7600000 0
USDJPY 1 030701 0015 119.7000000 119.7600000 119.6500000 119.7300000 0
USDJPY 1 030701 0016 119.6600000 119.7700000 119.6600000 119.7700000 0
USDJPY 1 030701 0017 119.7000000 119.7600000 119.6600000 119.7500000 0
USDJPY 1 030701 0018 119.6800000 119.7400000 119.6800000 119.7400000 0
USDJPY 1 030701 0019 119.6800000 119.7800000 119.6700000 119.7400000 0
USDJPY 1 030701 0020 119.7100000 119.7900000 119.6600000 119.7500000 0
USDJPY 1 030701 0021 119.7200000 119.8000000 119.6900000 119.7800000 0
USDJPY 1 030701 0022 119.7100000 119.8000000 119.6800000 119.7700000 0
USDJPY 1 030701 0023 119.7300000 119.8100000 119.7000000 119.7900000 0
USDJPY 1 030701 0024 119.7300000 119.8100000 119.7100000 119.7800000 0
USDJPY 1 030701 0025 119.7200000 119.8100000 119.7000000 119.8100000 0
USDJPY 1 030701 0026 119.7400000 119.7800000 119.7200000 119.7800000 0
USDJPY 1 030701 0027 119.7400000 119.8400000 119.7100000 119.8000000 0
USDJPY 1 030701 0028 119.7200000 119.8000000 119.6800000 119.7800000 0
USDJPY 1 030701 0029 119.7000000 119.7900000 119.6600000 119.7500000 0
USDJPY 1 030701 0030 119.7100000 119.7800000 119.6600000 119.7800000 0
USDJPY 1 030701 0031 119.7000000 119.8000000 119.6600000 119.7800000 0
USDJPY 1 030701 0032 119.7100000 119.8100000 119.6900000 119.7700000 0
USDJPY 1 030701 0033 119.7100000 119.7700000 119.7000000 119.7700000 0
USDJPY 1 030701 0034 119.7200000 119.8000000 119.7000000 119.8000000 0
USDJPY 1 030701 0035 119.7200000 119.7700000 119.7100000 119.7700000 0
USDJPY 1 030701 0036 119.7100000 119.7700000 119.7100000 119.7600000 0
USDJPY 1 030701 0038 119.7200000 119.7200000 119.7200000 119.7200000 0
USDJPY 1 030701 0039 119.7000000 119.8000000 119.7000000 119.7800000 0
USDJPY 1 030701 0040 119.7300000 119.8100000 119.7000000 119.8000000 0
USDJPY 1 030701 0041 119.7700000 119.8400000 119.7000000 119.8000000 0
USDJPY 1 030701 0042 119.7200000 119.8400000 119.7200000 119.8000000 0
USDJPY 1 030701 0043 119.7300000 119.8400000 119.7300000 119.8100000 0
USDJPY 1 030701 0044 119.7400000 119.8500000 119.7400000 119.8400000 0
USDJPY 1 030701 0045 119.7600000 119.8900000 119.6900000 119.8900000 0
USDJPY 1 030701 0046 119.7800000 119.8500000 119.7400000 119.8500000 0
USDJPY 1 030701 0047 119.7500000 119.8500000 119.7400000 119.8400000 0
USDJPY 1 030701 0048 119.7600000 119.8400000 119.7300000 119.8300000 0
USDJPY 1 030701 0049 119.7500000 119.8300000 119.7200000 119.8100000 0
USDJPY 1 030701 0050 119.7500000 119.8300000 119.7200000 119.8000000 0
USDJPY 1 030701 0051 119.7400000 119.8200000 119.6900000 119.8000000 0
USDJPY 1 030701 0052 119.7200000 119.8200000 119.7000000 119.8100000 0
USDJPY 1 030701 0053 119.7300000 119.7900000 119.7200000 119.7900000 0
USDJPY 1 030701 0054 119.7200000 119.8000000 119.7000000 119.7800000 0
USDJPY 1 030701 0055 119.7200000 119.7900000 119.7200000 119.7700000 0
USDJPY 1 030701 0057 119.7200000 119.8100000 119.7100000 119.7900000 0
USDJPY 1 030701 0058 119.7200000 119.8200000 119.7100000 119.7800000 0
USDJPY 1 030701 0059 119.7000000 119.8200000 119.7000000 119.7900000 0
USDJPY 1 030701 0100 119.7500000 119.8500000 119.7100000 119.7900000 0
USDJPY 1 030701 0101 119.7300000 119.8300000 119.7000000 119.7700000 0
USDJPY 1 030701 0102 119.7100000 119.7900000 119.6900000 119.7600000 0
USDJPY 1 030701 0103 119.7200000 119.8000000 119.7000000 119.8000000 0
USDJPY 1 030701 0104 119.7100000 119.8000000 119.6900000 119.8000000 0
USDJPY 1 030701 0105 119.7100000 119.7700000 119.7100000 119.7700000 0
USDJPY 1 030701 0106 119.7200000 119.7800000 119.7200000 119.7800000 0
USDJPY 1 030701 0107 119.7200000 119.8000000 119.7000000 119.7800000 0
USDJPY 1 030701 0108 119.7100000 119.7900000 119.6900000 119.7600000 0
USDJPY 1 030701 0109 119.7200000 119.8000000 119.6900000 119.7800000 0
USDJPY 1 030701 0110 119.7300000 119.8000000 119.7000000 119.7700000 0
USDJPY 1 030701 0111 119.7300000 119.7800000 119.7100000 119.7800000 0
USDJPY 1 030701 0112 119.7400000 119.7800000 119.7300000 119.7800000 0
USDJPY 1 030701 0113 119.7100000 119.7800000 119.7100000 119.7800000 0
USDJPY 1 030701 0114 119.7300000 119.8100000 119.7100000 119.7800000 0
USDJPY 1 030701 0115 119.7100000 119.8300000 119.7100000 119.7900000 0
USDJPY 1 030701 0117 119.7500000 119.7800000 119.7300000 119.7800000 0
USDJPY 1 030701 0118 119.7400000 119.7900000 119.6900000 119.7900000 0
USDJPY 1 030701 0119 119.7500000 119.8100000 119.7500000 119.8000000 0
USDJPY 1 030701 0120 119.7400000 119.8300000 119.7300000 119.7900000 0
USDJPY 1 030701 0121 119.7500000 119.8300000 119.7300000 119.7800000 0
USDJPY 1 030701 0122 119.7700000 119.8100000 119.7400000 119.7900000 0
USDJPY 1 030701 0123 119.7400000 119.8400000 119.7400000 119.7800000 0
USDJPY 1 030701 0124 119.7600000 119.8400000 119.7400000 119.8400000 0
USDJPY 1 030701 0126 119.7700000 119.8700000 119.7700000 119.8700000 0
USDJPY 1 030701 0127 119.7700000 119.8600000 119.7600000 119.8600000 0
USDJPY 1 030701 0128 119.7900000 119.8600000 119.7600000 119.8100000 0
USDJPY 1 030701 0129 119.7800000 119.8800000 119.7500000 119.7800000 0
USDJPY 1 030701 0130 119.7700000 119.8700000 119.7400000 119.8200000 0
USDJPY 1 030701 0131 119.7600000 119.8400000 119.7400000 119.8200000 0
USDJPY 1 030701 0133 119.7700000 119.8600000 119.7600000 119.8200000 0
USDJPY 1 030701 0135 119.7600000 119.8100000 119.7500000 119.8000000 0
USDJPY 1 030701 0136 119.7200000 119.8200000 119.7200000 119.7800000 0
USDJPY 1 030701 0137 119.7300000 119.8100000 119.7100000 119.7800000 0
USDJPY 1 030701 0138 119.7200000 119.8400000 119.7200000 119.8400000 0
USDJPY 1 030701 0139 119.7500000 119.8100000 119.6900000 119.7800000 0
USDJPY 1 030701 0140 119.7300000 119.8000000 119.6700000 119.7400000 0
USDJPY 1 030701 0141 119.6900000 119.7800000 119.6700000 119.7400000 0
USDJPY 1 030701 0142 119.6900000 119.8000000 119.6800000 119.7600000 0
USDJPY 1 030701 0143 119.7200000 119.8200000 119.6900000 119.7500000 0
USDJPY 1 030701 0144 119.7400000 119.7800000 119.7000000 119.7700000 0
