<TICKER> <PER> <DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <VOL>
USDJPY 1 070301 0001 118.3900000 118.4300000 118.3800000 118.4200000 0
USDJPY 1 070301 0002 118.3900000 118.4300000 118.3700000 118.4300000 0
USDJPY 1 070301 0003 118.3900000 118.4200000 118.3900000 118.4200000 0
USDJPY 1 070301 0005 118.3800000 118.4400000 118.3700000 118.4200000 0
USDJPY 1 070301 0006 118.3700000 118.4300000 118.3700000 118.4300000 0
USDJPY 1 070301 0007 118.3800000 118.4300000 118.3600000 118.4100000 0
USDJPY 1 070301 0008 118.3900000 118.4200000 118.3800000 118.3900000 0
USDJPY 1 070301 0009 118.3600000 118.4500000 118.3600000 118.4500000 0
USDJPY 1 070301 0010 118.4000000 118.4400000 118.3800000 118.4300000 0
USDJPY 1 070301 0011 118.4100000 118.4500000 118.3800000 118.4400000 0
USDJPY 1 070301 0012 118.3900000 118.4600000 118.3900000 118.4200000 0
USDJPY 1 070301 0013 118.4000000 118.4500000 118.3700000 118.4300000 0
USDJPY 1 070301 0014 118.4100000 118.4500000 118.4000000 118.4400000 0
USDJPY 1 070301 0015 118.3800000 118.4600000 118.3800000 118.4400000 0
USDJPY 1 070301 0016 118.4100000 118.4600000 118.3900000 118.4500000 0
USDJPY 1 070301 0017 118.4200000 118.4600000 118.3900000 118.4300000 0
USDJPY 1 070301 0018 118.4100000 118.4700000 118.3900000 118.4400000 0
USDJPY 1 070301 0019 118.4000000 118.4600000 118.3900000 118.4500000 0
USDJPY 1 070301 0020 118.4100000 118.4500000 118.3800000 118.4300000 0
USDJPY 1 070301 0021 118.4100000 118.4600000 118.3800000 118.4200000 0
USDJPY 1 070301 0022 118.4100000 118.4500000 118.3900000 118.4400000 0
USDJPY 1 070301 0024 118.3700000 118.4400000 118.3700000 118.4300000 0
USDJPY 1 070301 0025 118.3900000 118.4500000 118.3800000 118.4400000 0
USDJPY 1 070301 0026 118.4100000 118.4500000 118.3800000 118.4500000 0
USDJPY 1 070301 0027 118.3900000 118.4500000 118.3900000 118.4500000 0
USDJPY 1 070301 0028 118.4000000 118.4600000 118.3900000 118.4600000 0
USDJPY 1 070301 0029 118.4100000 118.5100000 118.4100000 118.5000000 0
USDJPY 1 070301 0030 118.4500000 118.5100000 118.4300000 118.4900000 0
USDJPY 1 070301 0031 118.4400000 118.5000000 118.4300000 118.4800000 0
USDJPY 1 070301 0032 118.4300000 118.5000000 118.4300000 118.4700000 0
USDJPY 1 070301 0033 118.4500000 118.5000000 118.4300000 118.5000000 0
USDJPY 1 070301 0034 118.4700000 118.5100000 118.4400000 118.5000000 0
USDJPY 1 070301 0035 118.4800000 118.5100000 118.4200000 118.4700000 0
USDJPY 1 070301 0036 118.4300000 118.4900000 118.4300000 118.4900000 0
USDJPY 1 070301 0037 118.4500000 118.5200000 118.4400000 118.5200000 0
USDJPY 1 070301 0038 118.4600000 118.5000000 118.4500000 118.5000000 0
USDJPY 1 070301 0039 118.4500000 118.5200000 118.4400000 118.4700000 0
USDJPY 1 070301 0040 118.4500000 118.5100000 118.4400000 118.4900000 0
USDJPY 1 070301 0041 118.4400000 118.5100000 118.4400000 118.4900000 0
USDJPY 1 070301 0042 118.4800000 118.5300000 118.4500000 118.5000000 0
USDJPY 1 070301 0043 118.4700000 118.5100000 118.4500000 118.4900000 0
USDJPY 1 070301 0044 118.4600000 118.5200000 118.4500000 118.5000000 0
USDJPY 1 070301 0045 118.4800000 118.5400000 118.4600000 118.5400000 0
USDJPY 1 070301 0046 118.5300000 118.5700000 118.4700000 118.5500000 0
USDJPY 1 070301 0047 118.5300000 118.5800000 118.5000000 118.5600000 0
USDJPY 1 070301 0048 118.5300000 118.5600000 118.4800000 118.5500000 0
USDJPY 1 070301 0049 118.5200000 118.5600000 118.5000000 118.5400000 0
USDJPY 1 070301 0050 118.5200000 118.5500000 118.4800000 118.5300000 0
USDJPY 1 070301 0051 118.4900000 118.5600000 118.4900000 118.5400000 0
USDJPY 1 070301 0052 118.5100000 118.5600000 118.4900000 118.5400000 0
USDJPY 1 070301 0053 118.5000000 118.5600000 118.5000000 118.5500000 0
USDJPY 1 070301 0054 118.5700000 118.6200000 118.5200000 118.5900000 0
USDJPY 1 070301 0055 118.5800000 118.6000000 118.5400000 118.5600000 0
USDJPY 1 070301 0056 118.6100000 118.6400000 118.5500000 118.6200000 0
USDJPY 1 070301 0057 118.5800000 118.6500000 118.5700000 118.6200000 0
USDJPY 1 070301 0058 118.6100000 118.6700000 118.5300000 118.6200000 0
USDJPY 1 070301 0059 118.5600000 118.6400000 118.5100000 118.5800000 0
USDJPY 1 070301 0100 118.5400000 118.6000000 118.5200000 118.5600000 0
USDJPY 1 070301 0101 118.5800000 118.5900000 118.4800000 118.5300000 0
USDJPY 1 070301 0102 118.5100000 118.5600000 118.4800000 118.5200000 0
USDJPY 1 070301 0103 118.4800000 118.5400000 118.4200000 118.5100000 0
USDJPY 1 070301 0104 118.4400000 118.5200000 118.4400000 118.5000000 0
USDJPY 1 070301 0105 118.4600000 118.5100000 118.4300000 118.4800000 0
USDJPY 1 070301 0106 118.4400000 118.5300000 118.4300000 118.4900000 0
USDJPY 1 070301 0107 118.4500000 118.5500000 118.4300000 118.5200000 0
USDJPY 1 070301 0108 118.4900000 118.5600000 118.4800000 118.5400000 0
USDJPY 1 070301 0109 118.5200000 118.5600000 118.4600000 118.5000000 0
USDJPY 1 070301 0110 118.4800000 118.5300000 118.4400000 118.5100000 0
USDJPY 1 070301 0111 118.4700000 118.5400000 118.4300000 118.4900000 0
USDJPY 1 070301 0112 118.4300000 118.5100000 118.4200000 118.5100000 0
USDJPY 1 070301 0113 118.4200000 118.5200000 118.4100000 118.4800000 0
USDJPY 1 070301 0114 118.4400000 118.5100000 118.4100000 118.4800000 0
USDJPY 1 070301 0115 118.4400000 118.5200000 118.4300000 118.4900000 0
USDJPY 1 070301 0116 118.4500000 118.5300000 118.4300000 118.5000000 0
USDJPY 1 070301 0117 118.4700000 118.5300000 118.4100000 118.5200000 0
USDJPY 1 070301 0118 118.4900000 118.5200000 118.4600000 118.5200000 0
USDJPY 1 070301 0119 118.4600000 118.5100000 118.4600000 118.5100000 0
USDJPY 1 070301 0120 118.5200000 118.5300000 118.4400000 118.5200000 0
USDJPY 1 070301 0121 118.4700000 118.5400000 118.4400000 118.5300000 0
USDJPY 1 070301 0122 118.4900000 118.5500000 118.4600000 118.5200000 0
USDJPY 1 070301 0123 118.4500000 118.5300000 118.4300000 118.4800000 0
USDJPY 1 070301 0124 118.4300000 118.5200000 118.4200000 118.4900000 0
USDJPY 1 070301 0125 118.4500000 118.5100000 118.4500000 118.5000000 0
USDJPY 1 070301 0126 118.4600000 118.5100000 118.4400000 118.5000000 0
USDJPY 1 070301 0128 118.4400000 118.5300000 118.4400000 118.4900000 0
USDJPY 1 070301 0129 118.4700000 118.5300000 118.4500000 118.5100000 0
USDJPY 1 070301 0130 118.5200000 118.5200000 118.4400000 118.5000000 0
USDJPY 1 070301 0131 118.4800000 118.5400000 118.4500000 118.5000000 0
USDJPY 1 070301 0132 118.4500000 118.5100000 118.4400000 118.4900000 0
USDJPY 1 070301 0133 118.4400000 118.5100000 118.4400000 118.5000000 0
USDJPY 1 070301 0134 118.4600000 118.5200000 118.4600000 118.5200000 0
USDJPY 1 070301 0135 118.4700000 118.5100000 118.4400000 118.4800000 0
USDJPY 1 070301 0136 118.4500000 118.5000000 118.4500000 118.5000000 0
USDJPY 1 070301 0137 118.4800000 118.5000000 118.4400000 118.5000000 0
USDJPY 1 070301 0138 118.4600000 118.5100000 118.4300000 118.4800000 0
USDJPY 1 070301 0139 118.4500000 118.5200000 118.4400000 118.5200000 0
USDJPY 1 070301 0140 118.4500000 118.5100000 118.4500000 118.5100000 0
USDJPY 1 070301 0141 118.4800000 118.5400000 118.4400000 118.5100000 0
USDJPY 1 070301 0142 118.4600000 118.5400000 118.4500000 118.5000000 0
USDJPY 1 070301 0143 118.4600000 118.5200000 118.4600000 118.5200000 0
USDJPY 1 070301 0144 118.4800000 118.5300000 118.4500000 118.5000000 0
USDJPY 1 070301 0145 118.4900000 118.5200000 118.4500000 118.5200000 0
USDJPY 1 070301 0146 118.4600000 118.5400000 118.4600000 118.5400000 0
USDJPY 1 070301 0147 118.4800000 118.5400000 118.4700000 118.5100000 0
USDJPY 1 070301 0148 118.4800000 118.5300000 118.4500000 118.5100000 0
USDJPY 1 070301 0149 118.4600000 118.5300000 118.4400000 118.5200000 0
USDJPY 1 070301 0150 118.4500000 118.5300000 118.4500000 118.5300000 0
USDJPY 1 070301 0151 118.4800000 118.5400000 118.4600000 118.5300000 0
USDJPY 1 070301 0152 118.4800000 118.5400000 118.4800000 118.5300000 0
USDJPY 1 070301 0153 118.4800000 118.5600000 118.4700000 118.5500000 0
USDJPY 1 070301 0154 118.5100000 118.5600000 118.4900000 118.5500000 0
USDJPY 1 070301 0155 118.5000000 118.5600000 118.4900000 118.5300000 0
USDJPY 1 070301 0156 118.4900000 118.5500000 118.4800000 118.5200000 0
USDJPY 1 070301 0157 118.4800000 118.5400000 118.4800000 118.5200000 0
USDJPY 1 070301 0158 118.5100000 118.5500000 118.4900000 118.5500000 0
USDJPY 1 070301 0159 118.5000000 118.5400000 118.4800000 118.5300000 0
USDJPY 1 070301 0200 118.4900000 118.5700000 118.4800000 118.5600000 0
USDJPY 1 070301 0201 118.5100000 118.6000000 118.5000000 118.5700000 0
USDJPY 1 070301 0202 118.5500000 118.5900000 118.5200000 118.5900000 0
USDJPY 1 070301 0203 118.5600000 118.6500000 118.5400000 118.6200000 0
USDJPY 1 070301 0204 118.5800000 118.6600000 118.5700000 118.6500000 0
USDJPY 1 070301 0205 118.6200000 118.6700000 118.5900000 118.6300000 0
USDJPY 1 070301 0206 118.6000000 118.6700000 118.5800000 118.6500000 0
USDJPY 1 070301 0207 118.6300000 118.6800000 118.6000000 118.6600000 0
USDJPY 1 070301 0208 118.6400000 118.7000000 118.6200000 118.6600000 0
USDJPY 1 070301 0209 118.6200000 118.7100000 118.6100000 118.7000000 0
USDJPY 1 070301 0210 118.6400000 118.6900000 118.6100000 118.6900000 0
