<TICKER> <PER> <DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <VOL>
USDJPY 1 020701 0009 119.5200000 119.5200000 119.5200000 119.5200000 0
USDJPY 1 020701 0102 119.8000000 119.8000000 119.8000000 119.8000000 0
USDJPY 1 020701 0103 119.7900000 119.8300000 119.7300000 119.7300000 0
USDJPY 1 020701 0104 119.7200000 119.7300000 119.7200000 119.7300000 0
USDJPY 1 020701 0105 119.7700000 119.7700000 119.7700000 119.7700000 0
USDJPY 1 020701 0106 119.7000000 119.7300000 119.6800000 119.7200000 0
USDJPY 1 020701 0107 119.7300000 119.7700000 119.7200000 119.7700000 0
USDJPY 1 020701 0108 119.7300000 119.7300000 119.7300000 119.7300000 0
USDJPY 1 020701 0109 119.7200000 119.7200000 119.7000000 119.7100000 0
USDJPY 1 020701 0110 119.7000000 119.7100000 119.7000000 119.7100000 0
USDJPY 1 020701 0112 119.7200000 119.7400000 119.7200000 119.7200000 0
USDJPY 1 020701 0113 119.7100000 119.7200000 119.7100000 119.7200000 0
USDJPY 1 020701 0118 119.7300000 119.7300000 119.7300000 119.7300000 0
USDJPY 1 020701 0121 119.7400000 119.7400000 119.7400000 119.7400000 0
USDJPY 1 020701 0122 119.7200000 119.7200000 119.7200000 119.7200000 0
USDJPY 1 020701 0123 119.7300000 119.7300000 119.7300000 119.7300000 0
USDJPY 1 020701 0128 119.7200000 119.7200000 119.7200000 119.7200000 0
USDJPY 1 020701 0132 119.7300000 119.7700000 119.7200000 119.7600000 0
USDJPY 1 020701 0134 119.7600000 119.7600000 119.5800000 119.5800000 0
USDJPY 1 020701 0135 119.7000000 119.7100000 119.6800000 119.7000000 0
USDJPY 1 020701 0136 119.7000000 119.7000000 119.7000000 119.7000000 0
USDJPY 1 020701 0141 119.7000000 119.7000000 119.7000000 119.7000000 0
USDJPY 1 020701 0142 119.6500000 119.6900000 119.6500000 119.6900000 0
USDJPY 1 020701 0156 119.6900000 119.7000000 119.6900000 119.7000000 0
USDJPY 1 020701 0157 119.7000000 119.7100000 119.7000000 119.7000000 0
USDJPY 1 020701 0200 119.7100000 119.7100000 119.7100000 119.7100000 0
USDJPY 1 020701 0201 119.7100000 119.7700000 119.7100000 119.7700000 0
USDJPY 1 020701 0202 119.7000000 119.7100000 119.7000000 119.7100000 0
USDJPY 1 020701 0203 119.6800000 119.7700000 119.6800000 119.7700000 0
USDJPY 1 020701 0204 119.7000000 119.7000000 119.7000000 119.7000000 0
USDJPY 1 020701 0205 119.7100000 119.7100000 119.7100000 119.7100000 0
USDJPY 1 020701 0206 119.7100000 119.7100000 119.7100000 119.7100000 0
USDJPY 1 020701 0207 119.6800000 119.7000000 119.6500000 119.6900000 0
USDJPY 1 020701 0208 119.6800000 119.6900000 119.6800000 119.6800000 0
USDJPY 1 020701 0213 119.6800000 119.6800000 119.6700000 119.6700000 0
USDJPY 1 020701 0214 119.6700000 119.6800000 119.6500000 119.6500000 0
USDJPY 1 020701 0215 119.6600000 119.6700000 119.6600000 119.6700000 0
USDJPY 1 020701 0216 119.6600000 119.6700000 119.6600000 119.6700000 0
USDJPY 1 020701 0217 119.6700000 119.6700000 119.6700000 119.6700000 0
USDJPY 1 020701 0219 119.6400000 119.6400000 119.6200000 119.6400000 0
USDJPY 1 020701 0220 119.6600000 119.6600000 119.6600000 119.6600000 0
USDJPY 1 020701 0221 119.6200000 119.6900000 119.6200000 119.6900000 0
