<TICKER> <PER> <DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <VOL>
USDJPY 1 010301 0001 117.4000000 117.4000000 117.4000000 117.4000000 0
USDJPY 1 010301 0002 117.3800000 117.3800000 117.3800000 117.3800000 0
USDJPY 1 010301 0006 117.3400000 117.3800000 117.3400000 117.3500000 0
USDJPY 1 010301 0007 117.3800000 117.3900000 117.3800000 117.3900000 0
USDJPY 1 010301 0008 117.3400000 117.3900000 117.3400000 117.3900000 0
USDJPY 1 010301 0009 117.3400000 117.3400000 117.3400000 117.3400000 0
USDJPY 1 010301 0010 117.4100000 117.4100000 117.4100000 117.4100000 0
USDJPY 1 010301 0012 117.3400000 117.4100000 117.3400000 117.4100000 0
USDJPY 1 010301 0013 117.3500000 117.3500000 117.3400000 117.3400000 0
USDJPY 1 010301 0014 117.3500000 117.3500000 117.3400000 117.3500000 0
USDJPY 1 010301 0015 117.3400000 117.3500000 117.3400000 117.3400000 0
USDJPY 1 010301 0016 117.3500000 117.3700000 117.3400000 117.3400000 0
USDJPY 1 010301 0017 117.3700000 117.3700000 117.3700000 117.3700000 0
USDJPY 1 010301 0018 117.3400000 117.3700000 117.3400000 117.3700000 0
USDJPY 1 010301 0019 117.4100000 117.4100000 117.3900000 117.3900000 0
USDJPY 1 010301 0020 117.3500000 117.3900000 117.3500000 117.3500000 0
USDJPY 1 010301 0021 117.3600000 117.3600000 117.3600000 117.3600000 0
USDJPY 1 010301 0022 117.3500000 117.3600000 117.3500000 117.3600000 0
USDJPY 1 010301 0023 117.3900000 117.3900000 117.3500000 117.3900000 0
USDJPY 1 010301 0025 117.3500000 117.3900000 117.3500000 117.3900000 0
USDJPY 1 010301 0027 117.3500000 117.3900000 117.3500000 117.3900000 0
USDJPY 1 010301 0028 117.3500000 117.3500000 117.3500000 117.3500000 0
USDJPY 1 010301 0029 117.3900000 117.3900000 117.3900000 117.3900000 0
USDJPY 1 010301 0030 117.3500000 117.3900000 117.3500000 117.3900000 0
USDJPY 1 010301 0031 117.3500000 117.3900000 117.3500000 117.3900000 0
USDJPY 1 010301 0032 117.4000000 117.4000000 117.3600000 117.4000000 0
USDJPY 1 010301 0033 117.3800000 117.3800000 117.3800000 117.3800000 0
USDJPY 1 010301 0034 117.4100000 117.4100000 117.3800000 117.4100000 0
USDJPY 1 010301 0035 117.3900000 117.3900000 117.3900000 117.3900000 0
USDJPY 1 010301 0036 117.3800000 117.3900000 117.3800000 117.3900000 0
USDJPY 1 010301 0037 117.3800000 117.3900000 117.3800000 117.3900000 0
USDJPY 1 010301 0038 117.4300000 117.4300000 117.4100000 117.4100000 0
USDJPY 1 010301 0039 117.3800000 117.4100000 117.3800000 117.4100000 0
USDJPY 1 010301 0040 117.4300000 117.4300000 117.4100000 117.4100000 0
USDJPY 1 010301 0041 117.3800000 117.3800000 117.3800000 117.3800000 0
USDJPY 1 010301 0042 117.4100000 117.4100000 117.3900000 117.3900000 0
USDJPY 1 010301 0043 117.3800000 117.3900000 117.3800000 117.3900000 0
